YEAR,MONTH,DAY,TMAX (°C),TMIN (°C),PRCP (mm)
1950,1,1,-3.413,-7.444,0.348
1950,1,2,0.106,-11.428,0.0
1950,1,3,8.545,-3.466,0.0
1950,1,4,17.565,1.116,0.0
1950,1,5,13.361,-2.949,0.0
1950,1,6,2.147,-9.729,0.0
1950,1,7,11.841,-1.402,0.0
1950,1,8,7.231,-7.402,0.0
1950,1,9,11.391,-7.136,0.0
1950,1,10,17.262,5.1,0.0
1950,1,11,11.237,0.893,0.845
1950,1,12,-1.542,-13.587,12.409
1950,1,13,-8.29,-13.035,8.976
1950,1,14,-2.782,-8.913,8.356
1950,1,15,0.733,-5.329,5.778
1950,1,16,-1.456,-3.923,0.779
1950,1,17,-6.044,-9.655,0.0
1950,1,18,0.027,-3.913,0.532
1950,1,19,-1.061,-17.716,0.0
1950,1,20,-7.356,-14.106,0.0
1950,1,21,-0.535,-10.848,0.0
1950,1,22,-0.46,-2.198,0.499
1950,1,23,-1.039,-7.698,0.0
1950,1,24,7.576,-7.0,0.25
1950,1,25,12.543,-0.845,0.0
1950,1,26,11.491,-0.148,5.084
1950,1,27,11.914,-5.527,0.0
1950,1,28,13.908,2.116,0.0
1950,1,29,14.596,-0.63,0.0
1950,1,30,14.878,2.346,0.0
1950,1,31,18.311,7.211,0.0
1950,2,1,16.719,1.948,0.002
1950,2,2,1.957,-1.697,2.765
1950,2,3,3.283,-5.285,12.842
1950,2,4,4.102,-2.48,0.0
1950,2,5,7.608,4.605,6.288
1950,2,6,7.845,-1.315,0.401
1950,2,7,14.561,6.283,0.0
1950,2,8,13.846,6.935,0.0
1950,2,9,14.777,0.642,0.019
1950,2,10,8.953,-6.002,0.0
1950,2,11,12.984,1.857,0.79
1950,2,12,20.005,10.268,0.0
1950,2,13,16.652,-1.876,0.292
1950,2,14,11.894,-4.055,0.337
1950,2,15,12.812,-2.0,0.0
1950,2,16,16.506,0.483,0.0
1950,2,17,23.125,2.871,0.0
1950,2,18,17.25,1.151,0.0
1950,2,19,3.703,-6.667,0.0
1950,2,20,15.434,-7.332,0.0
1950,2,21,21.252,-1.059,0.0
1950,2,22,18.034,0.699,0.0
1950,2,23,0.757,-8.815,0.046
1950,2,24,8.462,-10.613,0.0
1950,2,25,13.416,-5.088,0.0
1950,2,26,13.548,1.545,0.0
1950,2,27,20.096,-3.349,0.0
1950,2,28,25.939,7.033,0.0
1950,3,1,27.772,10.095,0.0
1950,3,2,23.247,4.696,0.007
1950,3,3,8.578,-5.118,1.458
1950,3,4,13.937,-2.447,0.0
1950,3,5,23.681,0.774,0.0
1950,3,6,27.561,4.858,0.0
1950,3,7,26.257,6.284,0.0
1950,3,8,25.199,6.698,0.0
1950,3,9,25.679,11.093,0.0
1950,3,10,24.692,14.774,0.0
1950,3,11,26.13,12.298,0.0
1950,3,12,18.831,2.958,1.554
1950,3,13,6.774,-3.937,0.769
1950,3,14,6.586,-2.717,0.015
1950,3,15,1.982,-6.653,0.0
1950,3,16,5.67,-8.804,0.048
1950,3,17,7.284,-7.66,0.0
1950,3,18,10.37,-0.841,0.0
1950,3,19,9.088,3.456,0.0
1950,3,20,19.371,8.245,0.556
1950,3,21,18.548,10.037,0.976
1950,3,22,14.51,-3.464,0.0
1950,3,23,3.666,-12.385,0.0
1950,3,24,6.238,-7.522,0.0
1950,3,25,12.39,-5.478,0.077
1950,3,26,16.479,-4.365,0.0
1950,3,27,21.386,2.526,0.0
1950,3,28,19.672,10.562,0.0
1950,3,29,15.786,6.397,0.509
1950,3,30,17.347,6.645,0.0
1950,3,31,16.329,7.191,8.123
1950,4,1,23.634,5.193,0.0
1950,4,2,21.268,3.081,0.0
1950,4,3,13.23,-5.107,0.0
1950,4,4,21.317,0.513,0.0
1950,4,5,20.205,6.57,0.0
1950,4,6,17.777,9.764,0.774
1950,4,7,19.442,5.594,0.046
1950,4,8,23.276,3.042,0.0
1950,4,9,25.138,6.93,0.0
1950,4,10,22.761,7.843,0.0
1950,4,11,19.965,0.229,0.0
1950,4,12,24.226,2.588,0.0
1950,4,13,29.09,10.737,0.0
1950,4,14,25.154,6.341,0.0
1950,4,15,6.016,-5.109,0.63
1950,4,16,11.142,-1.157,7.274
1950,4,17,16.728,0.749,0.0
1950,4,18,21.629,3.29,0.0
1950,4,19,20.589,6.114,0.0
1950,4,20,23.724,9.297,0.0
1950,4,21,20.623,12.71,0.976
1950,4,22,27.583,14.396,0.413
